rst:0x15 (USB_UART_CHIP_RESET),boot:0xc (SPI_FAST_FLASH_BOOT)
28.57,-309.52,947.62
31.75,-284.13,888.89
82.54,-323.81,895.24
173.02,-282.54,884.13
204.76,-269.84,885.71
309.52,-298.41,893.65
363.49,-153.97,885.71
387.30,-123.81,941.27
-,-,-
334.92,-457.14,1582.54
130.16,-176.19,1014.29
79.36,-201.59,1011.11
82.54,-225.40,973.02
111.11,-255.56,920.64
133.33,-231.75,885.71
182.54,-203.17,863.49
230.16,-198.41,895.24
311.11,-152.38,873.02
380.95,-131.75,934.92
436.51,-71.43,915.87
434.92,-41.27,963.49
428.57,-1.59,985.71
431.75,-17.46,966.67
404.76,-30.16,973.02
357.14,-76.19,936.51
334.92,-120.64,992.06
252.38,-130.16,1022.22
203.17,-147.62,993.65
146.03,-207.94,1041.27
98.41,-223.81,1036.51
53.97,-273.02,1020.64
76.19,-334.92,971.43
71.43,-328.57,946.03
104.76,-307.94,892.06
150.79,-306.35,860.32
211.11,-252.38,834.92
260.32,-260.32,868.25
453.97,-195.24,892.06
-,-,-
157.14,-457.14,1530.16
23.81,-206.35,961.90
-1.59,-228.57,968.25
-25.40,-274.60,966.67
23.81,-271.43,946.03
57.14,-296.83,941.27
130.16,-252.38,934.92
207.94,-222.22,936.51
260.32,-176.19,934.92
352.38,-101.59,922.22
428.57,-95.24,933.33
390.48,-28.57,920.64
380.95,-19.05,993.65
365.08,-17.46,1012.70
250.79,-44.44,1023.81
288.89,-69.84,995.24
201.59,-152.38,1117.46
130.16,-131.75,1065.08
-17.46,-198.41,1046.03
-22.22,-230.16,1020.64
-44.44,-233.33,995.24
-222.22,-330.16,1015.87
-44.44,-325.40,920.64
-4.76,-357.14,911.11
22.22,-350.79,892.06
79.36,-257.14,842.86
158.73,-230.16,858.73
250.79,-252.38,942.86
285.71,-131.75,922.22
-,-,-
-,-,-
-,-,-
-,-,-
336.51,-407.94,1600.00
4.76,-196.83,968.25
-25.40,-201.59,990.48
-26.98,-203.17,969.84
0.00,-234.92,968.25
46.03,-230.16,942.86
73.02,-247.62,934.92
152.38,-223.81,919.05
204.76,-180.95,914.29
252.38,-130.16,934.92
306.35,-93.65,942.86
326.98,-74.60,966.67
328.57,-41.27,995.24
334.92,-3.17,1012.70
284.13,3.17,1038.10
280.95,-20.64,1042.86
204.76,-98.41,1046.03
149.21,-119.05,1046.03
23.81,-128.57,990.48
1.59,-203.17,1046.03
-77.78,-246.03,995.24
-95.24,-303.17,992.06
-100.00,-330.16,939.68
-68.25,-328.57,914.29
-52.38,-326.98,895.24
3.17,-307.94,917.46
73.02,-295.24,896.83
173.02,-260.32,912.70
234.92,-203.17,947.62
285.71,-122.22,974.60
-,-,-
303.17,-301.59,1557.14
4.76,-196.83,961.90
